recipe,rel,nutrient
原煨三丝鳝筒,contains,铁
原煨三丝鳝筒,contains,锌
原煨三丝鳝筒,contains,硒
原煨三丝鳝筒,contains,铜
原煨三丝鳝筒,contains,锰
杂瓣海参,contains,蛋白质
杂瓣海参,contains,脂肪
杂瓣海参,contains,碳水化合物
杂瓣海参,contains,膳食纤维
杂瓣海参,contains,胆固醇
杂瓣海参,contains,维生素A
杂瓣海参,contains,胡萝卜素
杂瓣海参,contains,硫胺素
杂瓣海参,contains,核黄素
杂瓣海参,contains,尼克酸
杂瓣海参,contains,维生素C
杂瓣海参,contains,维生素E
杂瓣海参,contains,钙
杂瓣海参,contains,磷
杂瓣海参,contains,钾
杂瓣海参,contains,钠
杂瓣海参,contains,碘
杂瓣海参,contains,镁
杂瓣海参,contains,铁
杂瓣海参,contains,锌
杂瓣海参,contains,硒
杂瓣海参,contains,铜
杂瓣海参,contains,锰
粟子羊肉,contains,维生素B
粟子羊肉,contains,蛋白质
粟子羊肉,contains,脂肪
粟子羊肉,contains,泛酸
粟子羊肉,contains,碳水化合物
粟子羊肉,contains,叶酸
粟子羊肉,contains,膳食纤维
粟子羊肉,contains,胆固醇
粟子羊肉,contains,维生素A
粟子羊肉,contains,维生素K
粟子羊肉,contains,胡萝卜素
粟子羊肉,contains,硫胺素
粟子羊肉,contains,核黄素
粟子羊肉,contains,尼克酸
粟子羊肉,contains,维生素C
粟子羊肉,contains,维生素E
粟子羊肉,contains,钙
粟子羊肉,contains,磷
粟子羊肉,contains,钾
粟子羊肉,contains,钠
粟子羊肉,contains,镁
粟子羊肉,contains,铁
粟子羊肉,contains,锌
粟子羊肉,contains,硒
粟子羊肉,contains,铜
粟子羊肉,contains,锰
烟筒白菜,contains,蛋白质
烟筒白菜,contains,维生素B
烟筒白菜,contains,脂肪
烟筒白菜,contains,碳水化合物
烟筒白菜,contains,叶酸
烟筒白菜,contains,膳食纤维
烟筒白菜,contains,胆固醇
烟筒白菜,contains,维生素D
烟筒白菜,contains,维生素A
烟筒白菜,contains,胡萝卜素
烟筒白菜,contains,硫胺素
烟筒白菜,contains,核黄素
烟筒白菜,contains,尼克酸
烟筒白菜,contains,维生素C
烟筒白菜,contains,维生素E
烟筒白菜,contains,钙
烟筒白菜,contains,磷
烟筒白菜,contains,钾
烟筒白菜,contains,钠
烟筒白菜,contains,镁
烟筒白菜,contains,铁
烟筒白菜,contains,锌
烟筒白菜,contains,硒
烟筒白菜,contains,铜
烟筒白菜,contains,锰
清莲花豆腐,contains,维生素B
清莲花豆腐,contains,蛋白质
清莲花豆腐,contains,维生素B
清莲花豆腐,contains,脂肪
清莲花豆腐,contains,泛酸
清莲花豆腐,contains,碳水化合物
清莲花豆腐,contains,膳食纤维
清莲花豆腐,contains,胆固醇
清莲花豆腐,contains,维生素A
清莲花豆腐,contains,胡萝卜素
清莲花豆腐,contains,硫胺素
清莲花豆腐,contains,核黄素
清莲花豆腐,contains,尼克酸
清莲花豆腐,contains,维生素C
清莲花豆腐,contains,维生素E
清莲花豆腐,contains,钙
清莲花豆腐,contains,磷
清莲花豆腐,contains,钾
清莲花豆腐,contains,钠
清莲花豆腐,contains,碘
清莲花豆腐,contains,镁
清莲花豆腐,contains,铁
清莲花豆腐,contains,锌
清莲花豆腐,contains,硒
清莲花豆腐,contains,铜
清莲花豆腐,contains,锰
大良炒鲜奶,contains,蛋白质
大良炒鲜奶,contains,脂肪
大良炒鲜奶,contains,碳水化合物
大良炒鲜奶,contains,膳食纤维
大良炒鲜奶,contains,胆固醇
大良炒鲜奶,contains,维生素A
大良炒鲜奶,contains,硫胺素
大良炒鲜奶,contains,核黄素
大良炒鲜奶,contains,尼克酸
大良炒鲜奶,contains,维生素C
大良炒鲜奶,contains,维生素E
大良炒鲜奶,contains,钙
大良炒鲜奶,contains,磷
大良炒鲜奶,contains,钾
大良炒鲜奶,contains,钠
大良炒鲜奶,contains,镁
大良炒鲜奶,contains,铁
大良炒鲜奶,contains,锌
大良炒鲜奶,contains,硒
大良炒鲜奶,contains,铜
大良炒鲜奶,contains,锰
椒麻鸡块,contains,维生素B
椒麻鸡块,contains,蛋白质
椒麻鸡块,contains,脂肪
椒麻鸡块,contains,泛酸
椒麻鸡块,contains,碳水化合物
椒麻鸡块,contains,叶酸
椒麻鸡块,contains,膳食纤维
椒麻鸡块,contains,胆固醇
椒麻鸡块,contains,维生素A
椒麻鸡块,contains,维生素K
椒麻鸡块,contains,胡萝卜素
椒麻鸡块,contains,硫胺素
椒麻鸡块,contains,核黄素
椒麻鸡块,contains,尼克酸
椒麻鸡块,contains,维生素C
椒麻鸡块,contains,维生素E
椒麻鸡块,contains,钙
椒麻鸡块,contains,磷
椒麻鸡块,contains,钾
椒麻鸡块,contains,钠
椒麻鸡块,contains,镁
椒麻鸡块,contains,铁
椒麻鸡块,contains,锌
椒麻鸡块,contains,硒
椒麻鸡块,contains,铜
椒麻鸡块,contains,锰
花生焖猪尾,contains,维生素B
花生焖猪尾,contains,蛋白质
花生焖猪尾,contains,脂肪
花生焖猪尾,contains,泛酸
花生焖猪尾,contains,碳水化合物
花生焖猪尾,contains,叶酸
花生焖猪尾,contains,膳食纤维
花生焖猪尾,contains,维生素A
花生焖猪尾,contains,胡萝卜素
花生焖猪尾,contains,硫胺素
花生焖猪尾,contains,核黄素
花生焖猪尾,contains,尼克酸
花生焖猪尾,contains,维生素C
花生焖猪尾,contains,维生素E
花生焖猪尾,contains,钙
花生焖猪尾,contains,磷
花生焖猪尾,contains,钾
花生焖猪尾,contains,钠
花生焖猪尾,contains,碘
花生焖猪尾,contains,镁
花生焖猪尾,contains,铁
花生焖猪尾,contains,锌
花生焖猪尾,contains,硒
花生焖猪尾,contains,铜
花生焖猪尾,contains,锰
原汁武陵甲鱼,contains,维生素B
原汁武陵甲鱼,contains,蛋白质
原汁武陵甲鱼,contains,脂肪
原汁武陵甲鱼,contains,泛酸
原汁武陵甲鱼,contains,碳水化合物
原汁武陵甲鱼,contains,叶酸
原汁武陵甲鱼,contains,膳食纤维
原汁武陵甲鱼,contains,胆固醇
原汁武陵甲鱼,contains,维生素A
原汁武陵甲鱼,contains,胡萝卜素
原汁武陵甲鱼,contains,硫胺素
原汁武陵甲鱼,contains,核黄素
原汁武陵甲鱼,contains,尼克酸
原汁武陵甲鱼,contains,维生素C
原汁武陵甲鱼,contains,维生素E
原汁武陵甲鱼,contains,钙
原汁武陵甲鱼,contains,磷
原汁武陵甲鱼,contains,钾
原汁武陵甲鱼,contains,钠
原汁武陵甲鱼,contains,镁
原汁武陵甲鱼,contains,铁
原汁武陵甲鱼,contains,锌
原汁武陵甲鱼,contains,硒
原汁武陵甲鱼,contains,铜
原汁武陵甲鱼,contains,锰
五香火肠,contains,维生素B
五香火肠,contains,蛋白质
五香火肠,contains,脂肪
五香火肠,contains,泛酸
五香火肠,contains,碳水化合物
五香火肠,contains,叶酸
五香火肠,contains,膳食纤维
五香火肠,contains,胆固醇
五香火肠,contains,维生素A
五香火肠,contains,维生素K
五香火肠,contains,胡萝卜素
五香火肠,contains,硫胺素
五香火肠,contains,核黄素
五香火肠,contains,尼克酸
五香火肠,contains,维生素C
五香火肠,contains,维生素E
五香火肠,contains,钙
五香火肠,contains,磷
五香火肠,contains,钾
五香火肠,contains,钠
五香火肠,contains,镁
五香火肠,contains,铁
五香火肠,contains,锌
五香火肠,contains,硒
五香火肠,contains,铜
五香火肠,contains,锰
清汤酿鸭掌,contains,蛋白质
清汤酿鸭掌,contains,维生素B
清汤酿鸭掌,contains,脂肪
清汤酿鸭掌,contains,泛酸
清汤酿鸭掌,contains,碳水化合物
清汤酿鸭掌,contains,膳食纤维
清汤酿鸭掌,contains,胆固醇
清汤酿鸭掌,contains,维生素D
清汤酿鸭掌,contains,维生素A
清汤酿鸭掌,contains,胡萝卜素
清汤酿鸭掌,contains,硫胺素
清汤酿鸭掌,contains,核黄素
清汤酿鸭掌,contains,尼克酸
清汤酿鸭掌,contains,维生素C
清汤酿鸭掌,contains,维生素E
清汤酿鸭掌,contains,钙
清汤酿鸭掌,contains,磷
清汤酿鸭掌,contains,钾
清汤酿鸭掌,contains,钠
清汤酿鸭掌,contains,镁
清汤酿鸭掌,contains,铁
清汤酿鸭掌,contains,锌
清汤酿鸭掌,contains,硒
清汤酿鸭掌,contains,铜
清汤酿鸭掌,contains,锰
鸡汁玉翠鱼丸,contains,维生素B
鸡汁玉翠鱼丸,contains,蛋白质
鸡汁玉翠鱼丸,contains,脂肪
鸡汁玉翠鱼丸,contains,泛酸
鸡汁玉翠鱼丸,contains,碳水化合物
鸡汁玉翠鱼丸,contains,叶酸
鸡汁玉翠鱼丸,contains,膳食纤维
鸡汁玉翠鱼丸,contains,胆固醇
鸡汁玉翠鱼丸,contains,维生素A
鸡汁玉翠鱼丸,contains,维生素K
鸡汁玉翠鱼丸,contains,胡萝卜素
鸡汁玉翠鱼丸,contains,维生素p
鸡汁玉翠鱼丸,contains,硫胺素
鸡汁玉翠鱼丸,contains,核黄素
鸡汁玉翠鱼丸,contains,尼克酸
鸡汁玉翠鱼丸,contains,维生素C
鸡汁玉翠鱼丸,contains,维生素E
鸡汁玉翠鱼丸,contains,钙
鸡汁玉翠鱼丸,contains,磷
鸡汁玉翠鱼丸,contains,钾
鸡汁玉翠鱼丸,contains,钠
鸡汁玉翠鱼丸,contains,碘
鸡汁玉翠鱼丸,contains,镁
鸡汁玉翠鱼丸,contains,铁
鸡汁玉翠鱼丸,contains,锌
鸡汁玉翠鱼丸,contains,硒
鸡汁玉翠鱼丸,contains,铜
鸡汁玉翠鱼丸,contains,锰
潇湘五元龟,contains,维生素B
潇湘五元龟,contains,蛋白质
潇湘五元龟,contains,脂肪
潇湘五元龟,contains,泛酸
潇湘五元龟,contains,碳水化合物
潇湘五元龟,contains,叶酸
潇湘五元龟,contains,膳食纤维
潇湘五元龟,contains,生物素
潇湘五元龟,contains,胆固醇
潇湘五元龟,contains,维生素A
潇湘五元龟,contains,维生素K
潇湘五元龟,contains,胡萝卜素
潇湘五元龟,contains,硫胺素
潇湘五元龟,contains,核黄素
潇湘五元龟,contains,尼克酸
潇湘五元龟,contains,维生素C
潇湘五元龟,contains,维生素E
潇湘五元龟,contains,钙
潇湘五元龟,contains,磷
潇湘五元龟,contains,钾
潇湘五元龟,contains,钠
潇湘五元龟,contains,镁
潇湘五元龟,contains,铁
潇湘五元龟,contains,锌
潇湘五元龟,contains,硒
潇湘五元龟,contains,铜
潇湘五元龟,contains,锰
红煨白鳝,contains,维生素B
红煨白鳝,contains,蛋白质
红煨白鳝,contains,脂肪
红煨白鳝,contains,泛酸
红煨白鳝,contains,碳水化合物
红煨白鳝,contains,叶酸
红煨白鳝,contains,膳食纤维
红煨白鳝,contains,胆固醇
红煨白鳝,contains,维生素A
红煨白鳝,contains,维生素K
红煨白鳝,contains,胡萝卜素
红煨白鳝,contains,硫胺素
红煨白鳝,contains,核黄素
红煨白鳝,contains,尼克酸
红煨白鳝,contains,维生素C
红煨白鳝,contains,维生素E
红煨白鳝,contains,钙
红煨白鳝,contains,磷
红煨白鳝,contains,钾
红煨白鳝,contains,钠
红煨白鳝,contains,镁
红煨白鳝,contains,铁
红煨白鳝,contains,锌
红煨白鳝,contains,硒
红煨白鳝,contains,铜
红煨白鳝,contains,锰
虾酿竹荪卷汤,contains,维生素B
虾酿竹荪卷汤,contains,蛋白质
虾酿竹荪卷汤,contains,维生素B
虾酿竹荪卷汤,contains,脂肪
虾酿竹荪卷汤,contains,泛酸
虾酿竹荪卷汤,contains,碳水化合物
虾酿竹荪卷汤,contains,叶酸
虾酿竹荪卷汤,contains,膳食纤维
虾酿竹荪卷汤,contains,胆固醇
虾酿竹荪卷汤,contains,维生素D
虾酿竹荪卷汤,contains,维生素A
虾酿竹荪卷汤,contains,维生素K
虾酿竹荪卷汤,contains,胡萝卜素
虾酿竹荪卷汤,contains,硫胺素
虾酿竹荪卷汤,contains,核黄素
虾酿竹荪卷汤,contains,尼克酸
虾酿竹荪卷汤,contains,维生素C
虾酿竹荪卷汤,contains,维生素E
虾酿竹荪卷汤,contains,钙
虾酿竹荪卷汤,contains,磷
虾酿竹荪卷汤,contains,钾
虾酿竹荪卷汤,contains,钠
虾酿竹荪卷汤,contains,碘
虾酿竹荪卷汤,contains,镁
虾酿竹荪卷汤,contains,铁
虾酿竹荪卷汤,contains,锌
虾酿竹荪卷汤,contains,硒
虾酿竹荪卷汤,contains,铜
虾酿竹荪卷汤,contains,锰
凤菌一品豆腐,contains,维生素B
凤菌一品豆腐,contains,蛋白质
凤菌一品豆腐,contains,维生素B
凤菌一品豆腐,contains,脂肪
凤菌一品豆腐,contains,泛酸
凤菌一品豆腐,contains,碳水化合物
凤菌一品豆腐,contains,叶酸
凤菌一品豆腐,contains,膳食纤维
凤菌一品豆腐,contains,胆固醇
凤菌一品豆腐,contains,维生素A
凤菌一品豆腐,contains,维生素K
凤菌一品豆腐,contains,胡萝卜素
凤菌一品豆腐,contains,硫胺素
凤菌一品豆腐,contains,核黄素
凤菌一品豆腐,contains,尼克酸
凤菌一品豆腐,contains,维生素C
凤菌一品豆腐,contains,维生素E
凤菌一品豆腐,contains,钙
凤菌一品豆腐,contains,磷
凤菌一品豆腐,contains,钾
凤菌一品豆腐,contains,钠
凤菌一品豆腐,contains,碘
凤菌一品豆腐,contains,镁
凤菌一品豆腐,contains,铁
凤菌一品豆腐,contains,锌
凤菌一品豆腐,contains,硒
凤菌一品豆腐,contains,铜
凤菌一品豆腐,contains,锰
辣味豆腐盒,contains,维生素B
辣味豆腐盒,contains,蛋白质
辣味豆腐盒,contains,维生素B
辣味豆腐盒,contains,脂肪
辣味豆腐盒,contains,泛酸
辣味豆腐盒,contains,碳水化合物
辣味豆腐盒,contains,叶酸
辣味豆腐盒,contains,膳食纤维
辣味豆腐盒,contains,胆固醇
辣味豆腐盒,contains,维生素A
辣味豆腐盒,contains,维生素K
辣味豆腐盒,contains,胡萝卜素
辣味豆腐盒,contains,硫胺素
辣味豆腐盒,contains,核黄素
辣味豆腐盒,contains,尼克酸
辣味豆腐盒,contains,维生素C
辣味豆腐盒,contains,维生素E
辣味豆腐盒,contains,钙
辣味豆腐盒,contains,磷
辣味豆腐盒,contains,钾
辣味豆腐盒,contains,钠
辣味豆腐盒,contains,碘
辣味豆腐盒,contains,镁
辣味豆腐盒,contains,铁
辣味豆腐盒,contains,锌
辣味豆腐盒,contains,硒
辣味豆腐盒,contains,铜
辣味豆腐盒,contains,锰
清炖牛肉,contains,蛋白质
清炖牛肉,contains,脂肪
清炖牛肉,contains,碳水化合物
清炖牛肉,contains,膳食纤维
清炖牛肉,contains,胆固醇
清炖牛肉,contains,维生素A
清炖牛肉,contains,胡萝卜素
清炖牛肉,contains,硫胺素
清炖牛肉,contains,核黄素
清炖牛肉,contains,尼克酸
清炖牛肉,contains,维生素C
清炖牛肉,contains,维生素E
清炖牛肉,contains,钙
清炖牛肉,contains,磷
清炖牛肉,contains,钾
清炖牛肉,contains,钠
清炖牛肉,contains,镁
清炖牛肉,contains,铁
清炖牛肉,contains,锌
清炖牛肉,contains,硒
清炖牛肉,contains,铜
清炖牛肉,contains,锰
香菇莴笋柱,contains,维生素B
香菇莴笋柱,contains,蛋白质
香菇莴笋柱,contains,脂肪
香菇莴笋柱,contains,泛酸
香菇莴笋柱,contains,碳水化合物
香菇莴笋柱,contains,叶酸
香菇莴笋柱,contains,膳食纤维
香菇莴笋柱,contains,维生素A
香菇莴笋柱,contains,维生素K
香菇莴笋柱,contains,胡萝卜素
香菇莴笋柱,contains,维生素p
香菇莴笋柱,contains,硫胺素
香菇莴笋柱,contains,核黄素
香菇莴笋柱,contains,尼克酸
香菇莴笋柱,contains,维生素C
香菇莴笋柱,contains,维生素E
