鸭肉忌与兔肉、杨梅、核桃、鳖、木耳、胡桃、大蒜、荞麦同食,,
服用人参、西洋参时不要同吃萝卜，以免药效相反，起不到补益作用,,
葱不宜与蜂蜜、枣、狗肉同食；葱与蜂蜜不可同食，否则易引起痢疾的发生,,
猪肉不宜与乌梅、甘草、鲫鱼、虾、鸽肉、田螺、杏仁、驴肉、羊肝、香菜、甲鱼、菱角、荞麦、鹌鹑肉、牛肉同食,,
冬瓜忌与鲫鱼、滋补药同食,,
1.吃虾严禁同时服用大量维生素C，否则，可生成三价砷，能致死；2.不宜与猪肉同食，损精；3.忌与狗肉、鸡肉、獐肉、鹿肉、南瓜同食；4.忌糖；果汁与虾相克，同食会腹泻,,
鳝鱼不宜于狗肉、狗血、南瓜、菠菜、红枣同食,,
猪肉不宜与乌梅、甘草、鲫鱼、虾、鸽肉、田螺、杏仁、驴肉、羊肝、香菜、甲鱼、菱角、荞麦、鹌鹑肉、牛肉同食,,
大蒜忌与蜂蜜同食,,
海参不宜与甘草、醋同食,,
鸡肉忌与野鸡、甲鱼、芥末、鲤鱼、鲫鱼、兔肉、李子、虾子、芝麻、菊花以及葱蒜等一同食用；与芝麻、菊花同食易中毒；与李子、兔肉同食，会导致腹泻；与芥末同食会上火,,
蚕豆不宜与田螺同食,,
羊肉不宜与南瓜、西瓜、鲇鱼同食，食则容易使人气滞壅满而发病；忌与梅干菜同食；吃羊肉不可加醋，否则内热火攻心；不宜与荞麦、豆瓣酱同食,,
栗子不宜与牛肉、鸭肉、杏仁一起食用,,
白萝卜忌与胡萝卜、橘子、柿子、人参、西洋参同食,,
金针菇忌与驴肉同食,,
牛奶不宜与果汁、醋、白酒、米汤、韭菜、菜花一起食用；在喝牛奶前后1小时左右，不宜吃橘子；牛奶与生鱼同食会中毒；鸡蛋清,,
动物肝不宜与维生素C、抗凝血药物、左旋多巴、优降灵和苯乙肼等药物同食,,
1.螃蟹不可与红薯、南瓜、蜂蜜、橙子、梨、石榴、西红柿、香瓜、花生、蜗牛、芹菜、柿子、兔肉、荆芥同食；2.吃螃蟹不可饮用冷饮，会导致腹泻,,
鸡肉忌与野鸡、甲鱼、鲤鱼、鲫鱼、兔肉、虾子以及葱蒜等一同食用；与芝麻、菊花同食易中毒；不宜与李子、兔肉同食，会导致腹泻；与芥末同食会上火,,
花生不宜与黄瓜、螃蟹同食，否则易导致腹泻；花生不可与香瓜同食,,
甲鱼不宜与桃子、苋莱、鸡蛋、猪肉、兔肉、薄荷、芹菜、鸭蛋、鸭肉、芥末、鸡肉、黄鳝、蟹一同食用,,
西红柿忌与石榴、螃蟹、冰棒、红薯、白酒、猪肝、鱼肉同食,,
龟肉不宜与酒、果、瓜、猪肉、苋菜同食,,
枣不易与虾皮、葱、鳝鱼、海鲜、动物肝脏、黄瓜、萝卜同食,,
枸杞一般不宜和过多茶性温热的补品如桂圆、红参、大枣等共同食用,,
鳗鱼忌与醋、白果同食,,
牛肉不宜与板栗、田螺、红糖、韭菜、白酒、猪肉同食,,
莴笋忌于蜂蜜同食,,
杏仁不可与板栗、猪肉、小米同食,,
鹌鹑不宜与猪肉、猪肝、菌类食物同食，否则令人面生黑子或发生痔疮,,
樱桃忌与生葱同时食用,,
菠菜不宜与鳝鱼、韭菜、黄瓜、瘦肉同食,,
韭菜不宜与酒、菠菜、蜂蜜、牛肉同食,,
鸡肉忌与野鸡、甲鱼、鲤鱼、鲫鱼、兔肉、虾子以及葱蒜等一同食用；与芝麻、菊花同食易中毒；不宜与李子同食会导致腹泻；与芥末同食会上火,,
蚕豆不宜与田螺同食,,
与蜂蜜同食会造成消化不良；忌于猪肉同食,,
泥鳅不宜与狗肉同食；狗血与泥鳅相克,功能正好相反，不宜同吃；毛蟹与泥鳅相克,同食会引起中毒
"猪脑髓不可与酒、盐同食,影响男子性功能",,
鲫鱼不宜和大蒜、砂糖、芥菜、沙参、蜂蜜、冬瓜、猪肝、鸡肉、野鸡肉、鹿肉，以及中药麦冬、厚朴一同食用,,
菊花与鸡肉、猪肉同食会中毒,,
山药恶甘遂、大戟，不可与碱性药物同服,,
丁香不可见火，畏郁金,,
用桂忌用诸葱,,
海蛰忌与白糖同腌，否则不能久藏,,
核桃不能与野鸡肉、酒同食,,
菜花不宜与猪肝同食,,
鲇鱼不宜与牛羊油、牛肝、鹿肉、野猪肉、野鸡、中药荆芥同食,,
兔肉不能与鸭肉、鸡蛋、鸡肉、甲鱼、芹菜、桔皮、半夏、苦参、甘草同食,,
牛奶不宜与果汁、醋、白酒、米汤、韭菜、菜花一起食用；在喝牛奶前后1小时左右，不宜吃橘子；牛奶与生鱼同食会中毒；,,
青鱼忌与李子同食；青鱼忌用牛、羊油煎炸；不可与荆芥、白术、苍术同食,,
玉米忌和田螺同食，否则会中毒；玉米不宜与牡蛎同食，否则会阻碍锌的吸收,,
鲍鱼忌与鸡肉、野猪肉、牛肝同食,,
白果忌与鳗鱼同食,,
兔肉不能与鸭肉、鸡蛋、鸡肉、甲鱼、芹菜、桔皮、半夏、苦参、甘草同食,,
木耳忌与田螺、野鸡、野鸭同食,,
酒与胡萝卜不宜同食，会造成大量胡萝卜素与酒精一同进入人体，而在肝脏中产生毒素，导致肝病；另外萝卜主泻、胡萝卜为补，所以二者最好不要同食,,
山药与甘遂不要一同食用；也不可与碱性药物同服,,
虾,,
同食会腹泻,,
黄瓜不宜与芹菜、菠菜等富含维生素C的食物同食,,
猪蹄不可与甘草同吃，否则会引起中毒，可以用绿豆治疗,,
《食鉴本草》记载,,
牛肉不宜与板栗、田螺、红糖、韭菜、白酒、猪肉同食,,
豆腐不宜与菠菜、香葱一起烹调，会生成容易形成结石的草酸钙；豆腐忌于蜂蜜、茭白、竹笋、猪肝同食,,
虾皮忌与红枣同食；与黄豆同食易造成消化不良,,
鳗鱼忌与醋、白果同食,,
虾,同食会腹泻,
牡蛎肉不宜与糖同食,,
食虾时严禁同时服用大量维生素C，否则，可生成三价砷，能致死；虾不宜与猪肉同食，易损精；同时忌与狗肉、鸡肉、獐肉、鹿肉、南瓜同食；糖、果汁与虾相克,,
虾,,
栗子不宜与牛肉、鸭肉、杏仁一起食用,,
豆腐干中富含钙质，不宜于含有大量草酸的菠菜、葱同食,,
绿豆芽不宜与猪肝同食,,
鸡肉忌与野鸡、甲鱼、鲤鱼、鲫鱼、兔肉、虾子以及葱蒜等一同食用；与芝麻、菊花同食易中毒；不宜与李子、兔肉同食，会导致腹泻；与芥末同食会上火,,
竹笋忌与羊肝同食,,
豆芽不宜与猪肝同食,,
豆腐不宜与菠菜、香葱一起烹调，会生成容易形成结石的草酸钙；豆腐忌于蜂蜜、茭白、竹笋、猪肝同食,,
虾,,
糯米不宜于鸡肉同食,,
螃蟹不可与红薯、南瓜、蜂蜜、橙子、梨、石榴、西红柿、香瓜、花生、蜗牛、芹菜、柿子、兔肉、荆芥同食；吃螃蟹不可饮用冷饮会导致腹泻,,
猪肉不宜与乌梅、甘草、鲫鱼、虾、鸽肉、田螺、杏仁、驴肉、羊肝、香菜、甲鱼、菱角、荞麦、鹌鹑肉、牛肉同食,,
黄豆不宜与猪血、蕨菜、虾皮、猪肝、酸奶同食,,
白果忌与鳗鱼同食,,
萝卜不宜与人参、橘子、西洋参、柿子同食,,
芋头忌于香蕉同食，会腹胀,,
猪肉不宜与乌梅、甘草、鲫鱼、虾、鸽肉、田螺、杏仁、驴肉、羊肝、香菜、甲鱼、菱角、荞麦、鹌鹑肉、牛肉同食,,
大米不宜与马肉、蜂蜜同食,,
山楂不宜于海鲜、猪肝、人参同食，山楂与柠檬同食会影响消化,,
鲤鱼与红豆同煮，两者均能利水消肿，在用于治疗肾炎水肿的时候效果很好；但是正是因为利水功能太强，正常人不可服用,,
咸鸭蛋不宜与甲鱼、李子同食,,
香蕉不宜和红薯同食,,
野鸭不宜与木耳同食,,
酸菜不宜与柿子同食，会导致胃石症,,
大米不宜与马肉、蜂蜜、苍耳同食,,
黄芪恶白鲜皮，反藜芦，畏五灵脂、防风,,
绿豆忌与鲤鱼、狗肉同食；绿豆反榧子壳，不可与之同食,,
紫菜不宜与柿子同食；不宜与酸涩的水果共同食用，易造成胃肠不适,,
菱角粉与蜂蜜同食会造成消化不良,,
麻雀肉不宜与李子和海鲜食物同食；夏季不宜与猪肉、猪肝同食,,
陈皮不宜与半夏、南星同用；不宜与温热香燥药同用,,
毛豆不宜与鱼肉、蕨菜、小白菜同食,,
虾,,
芥菜不能与鲫鱼、鳖肉同食,,
木耳忌与田螺、野鸡、野鸭同食,,
芹菜忌与甲鱼、菊花、蛤、兔肉、黄瓜、螃蟹同食,,
猪肉不宜与乌梅、甘草、鲫鱼、虾、鸽肉、田螺、杏仁、驴肉、羊肝、香菜、甲鱼、菱角、荞麦、鹌鹑肉、牛肉同食,,
粳米不宜与马肉、蜂蜜同食；不可与苍耳同食，否则会导致心痛,,
海蛰忌与白糖同腌，否则不能久藏,,
猪肉不宜与乌梅、甘草、鲫鱼、虾、鸽肉、田螺、杏仁、驴肉、羊肝、香菜、甲鱼、菱角、荞麦、鹌鹑肉、牛肉同食,,
蛤蜊忌于田螺、橙子、芹菜同食,,
乌骨鸡不宜与野鸡、甲鱼、鲤鱼、鲫鱼、兔肉、虾子、葱、蒜一同食用；与芝麻、菊花同食易中毒；与李子、兔肉同食会导致腹泻；与芥末同食会上火,,
猪肉不宜与乌梅、甘草、鲫鱼、虾、鸽肉、田螺、杏仁、驴肉、羊肝、香菜、甲鱼、菱角、荞麦、鹌鹑肉、牛肉同食,,
洋葱忌与蜂蜜同食，会导致腹胀、腹泻；洋葱也不宜与黄鱼同食,,
海带不宜与柿子、茶、酸涩的水果同食,,
牛肉不宜与板栗、田螺、红糖、韭菜、白酒、猪肉同食,,
枣忌与虾皮、葱、鳝鱼、海鲜、动物肝脏、黄瓜、萝卜同食,,
葱不宜与蜂蜜、枣、狗肉同食；葱与蜂蜜不可同食，否则易引起痢疾的发生,,
芝麻忌与鸡肉同食,,
鸡蛋黄不能与白糖、豆浆、兔肉同食,,
牛奶不宜与果汁、醋、白酒、米汤、韭菜、菜花一起食用；在喝牛奶前后1小时左右，不宜吃橘子；牛奶与生鱼同食会中毒；紫菜(干),,
鸡翅忌与野鸡、甲鱼、芥末、鲤鱼、鲫鱼、兔肉、李子、虾子、芝麻、菊花以及葱蒜等一同食用；与芝麻、菊花同食易中毒；与李子、兔肉同食，会导致腹泻；与芥末同食会上火,,
黑豆忌与蓖麻子、厚朴同食,,
“黑豆恶五参、龙胆”,,
牛肉不宜与板栗、田螺、红糖、韭菜、白酒、猪肉同食,,
南瓜不宜与羊肉、虾同食；与螃蟹、鳝鱼、带鱼同食易中毒；与鹿肉同食可导致死亡；南瓜也不宜与富含维C的食物同食,,
荷叶畏桐油、茯芩、白银,,
茄子不宜与黑鱼同食，会损伤肠胃,,
牛奶不宜与果汁、醋、白酒、米汤、韭菜、菜花一起食用；在喝牛奶前后1小时左右，不宜吃橘子；牛奶与生鱼同食会中毒；鸡蛋,,
不宜与酒同饮，以免对胃、肝、肾造成严重损害,,
牛奶不宜与果汁、醋、白酒、米汤、韭菜、菜花一起食用；在喝牛奶前后1小时左右，不宜吃橘子；牛奶与生鱼同食会中毒；鸡肉,,
本品与藜芦相克,,
花生不宜与黄瓜、螃蟹同食，否则易导致腹泻；花生不可与香瓜同食,,
芝麻忌与鸡肉同食,,
鸡腿肉忌与野鸡、甲鱼、芥末、鲤鱼、鲫鱼、兔肉、李子、虾子、芝麻、菊花以及葱蒜等一同食用；与芝麻、菊花同食易中毒；与李子、兔肉同食，会导致腹泻；与芥末同食会上火,,
吃鱼前后忌喝茶,,
芥菜不能与鲫鱼、鳖肉同食,,
红薯忌与柿子、西红柿、白酒、螃蟹、香蕉同食,,
鸽肉忌于猪肉同食,,
大米不宜与马肉、蜂蜜、苍耳同食,,
牛肉不宜与板栗、田螺、红糖、韭菜、白酒、猪肉同食,,
鸡肉与芝麻、菊花同食易中毒；不宜与李子、兔肉同食，会导致腹泻；与芥末同食会上火；忌与野鸡、甲鱼、鲤鱼、鲫鱼、虾子以及葱蒜等一同食用,,
虾,,
猪肝忌与鱼肉、雀肉、荞麦、菜花、黄豆、豆腐、鹌鹑肉、野鸡同食；不宜与豆芽、西红柿、辣椒、毛豆、山楂等富含维生素C的食物同食；动物肝不宜与维生素C、抗凝血药物、左旋多巴、优降灵和苯乙肼等药物同食,,
茄子不宜与黑鱼同食，会损伤肠胃,,
螺肉不宜与中药蛤蚧、西药土霉素素同服；不宜与牛肉、羊肉、蚕豆、猪肉、蛤、面、玉米、冬瓜、香瓜、木耳及糖类同食；吃螺不可饮用冰水，否则会导致腹泻,,
鸭肉忌与兔肉、杨梅、核桃、鳖、木耳、胡桃、大蒜、荞麦同食,,
糯米不宜于鸡肉同食,,
墨鱼与茄子相克,,
猪肉不宜与乌梅、甘草、鲫鱼、虾、鸽肉、田螺、杏仁、驴肉、羊肝、香菜、甲鱼、菱角、荞麦、鹌鹑肉、牛肉同食,,
苋菜禁忌与甲鱼和龟肉同食,,
茶叶不宜和人参、西洋参、白糖、肉一起食用,,
过多食用枣会引起胃酸过多和腹胀；忌与柿子同食,,
螃蟹不可与红薯、南瓜、蜂蜜、橙子、梨、石榴、西红柿、香瓜、花生、蜗牛、芹菜、柿子、兔肉、荆芥同食；吃螃蟹不可饮用冷饮会导致腹泻,,
不要用茶水送服药物；服药前后1小时内不要饮茶,,
羊肉不宜与南瓜、西瓜、鲇鱼同食，食则容易使人气滞壅满而发病；忌与梅干菜才同食；吃羊肉不可加醋，否则内热火攻心；不宜与荞麦、豆瓣酱同食,,
羊肉不宜与南瓜、西瓜、鲇鱼同食，食则容易使人气滞壅满而发病；忌与梅干菜才同食；吃羊肉不可加醋，否则内热火攻心；不宜与荞麦、豆瓣酱同食,,
枸杞叶与乳制品相克陈皮,,
苹果忌于水产品同食，会导致便秘,,
芥菜不能与鲫鱼、鳖肉同食,,
蚝豉不宜与糖同食,,
黄鱼不能与中药荆芥同食；吃鱼前后忌喝茶；不宜与荞麦同食,,
人参、西洋参不宜和茶一起食用,,
吃鱼前后忌喝茶，忌与猪肝同食影响消化；不宜与西红柿同食,,
大米不宜与马肉、蜂蜜、苍耳同食,,
不宜于乌头类药材同用,,
羊肉不宜与南瓜、西瓜、鲇鱼同食，食则容易使人气滞壅满而发病；忌与梅干菜才同食；吃羊肉不可加醋，否则内热火攻心；不宜与荞麦、豆瓣酱同食,,
不可同萝卜、茶叶、藜芦、山楂一起食用,,
萝卜主泻、胡萝卜为补，所以二者最好不要同食；服用人参、西洋参时不要同时吃萝卜，以免药效相反，起不到补益作用；忌与橘子、柿子同食,,
牛奶不宜与果汁、醋、白酒、米汤、韭菜、菜花一起食用；在喝牛奶前后1小时左右，不宜吃橘子；牛奶与生鱼同食会中毒；虾仁,,
猪心不与吴茱萸合食,,
桃不可与烧酒、甲鱼同食,,
枸杞叶与乳制品相克,,
白芝麻忌与鸡肉同食,,
附子反半夏、瓜蒌、白蔹、贝母；恶蜈蚣；畏防风、黑豆、甘草、黄芪、人参、乌韭,,
本品与辛夷、石韦相克,,
细辛与藜芦、狼毒、山茱萸、黄芪相克，不宜与硝石、滑石同用,,
不宜与藜芦同用,,
牛肉不宜与板栗、田螺、红糖、韭菜、白酒、猪肉同食,,
何首乌忌猪肉、血、无鳞鱼、葱、蒜，恶萝卜,,
本品与鳖甲相克,,
花生不宜与黄瓜、螃蟹同食，否则易导致腹泻；花生不可与香瓜同食,,
小米忌与杏仁同食,,
小米忌与杏仁同食,,
茯苓恶白敛，畏牡蒙、地榆、雄黄、秦艽、龟甲，忌米醋,,
忌食鲤鱼,,
杏仁不可与板栗、猪肉、小米同食,,
牛奶不宜与果汁、醋、白酒、米汤、韭菜、菜花一起食用；在喝牛奶前后1小时左右，不宜吃橘子；牛奶与生鱼同食会中毒；稻米,,
本品与黄芩、黄芪、葛根相克；本品不宜与襄草同用,,
猪肉不宜与乌梅、甘草、鲫鱼、虾、鸽肉、田螺、杏仁、驴肉、羊肝、香菜、甲鱼、菱角、荞麦、鹌鹑肉、牛肉同食,,
狗肉不能与大蒜、鳝鱼、葱、鲤鱼、泥鳅、绿豆、杏仁、姜、菱、商陆同食,,
动物肝不宜与维生素C、抗凝血药物、左旋多巴、优降灵和苯乙肼等药物同食,,
天麻不可与御风草根同用，否则有令人肠结的危险,,
牛奶不宜与果汁、醋、白酒、米汤、韭菜、菜花一起食用；在喝牛奶前后1小时左右，不宜吃橘子；牛奶与生鱼同食会中毒；杏仁,,
鸭蛋不宜与鳖鱼、李子、桑葚同食,,
牛肉不宜与板栗、田螺、红糖、韭菜、白酒、猪肉同食,,
服用安体舒通、氨苯蝶啶和补钾时，不宜同食葡萄干和其他含钾量高的食物，否则易引起高血钾症，出现胃肠痉挛、腹胀、腹泻及心律失常等,,
茭白忌同蜂蜜、豆腐一起食用,,
川芎恶黄芪、山茱、狼毒，畏硝石、滑石、黄连，反黎芦,,
橘子忌于萝卜同食,,
巴戟恶雷丸、丹参，因药性相反,,
白酒不可和其它酒、茶、牛奶、碳酸饮料同饮；并且不易与牛肉、红薯、柿子、西红柿同食,,
菊花与鸡肉、猪肉同食会中毒,,
豆浆不宜与蜂蜜、鸡蛋同食；豆浆与橙子同食影响消化；不能与药物同饮；豆浆不能加红糖，加白糖须待煮熟离火后再加,,
大米不宜与马肉、蜂蜜同食,,
红豆忌与米同煮，食之发口疮；不宜与羊肉同食；红豆与羊肚相克,,
牛奶不宜与果汁、醋、白酒、米汤、韭菜、菜花一起食用；在喝牛奶前后1小时左右，不宜吃橘子；牛奶与生鱼同食会中毒；香蕉,,
赤砂糖与生鸡蛋、皮蛋同食会中毒,,
桑椹忌与鸭蛋同食,,
西瓜忌与羊肉同食,,
过多食用枣会引起胃酸过多和腹胀；忌与柿子同食,,
蚕豆不宜与田螺同食,,
玉米忌和田螺同食，否则会中毒；不宜与牡蛎同食，否则会阻碍锌的吸收,,
猪肉松忌与鹌鹑肉同食，否则会使人面生黑斑,,
松花蛋不宜与甲鱼、李子、红糖同食,,
绿豆与鲤鱼、狗肉、榧子壳，不可同食,,
