sentence,relation,head,head_offset,tail,tail_offset
红豆含有丰富的钾元素和纤维素，食用红豆可以滋润肠胃，促进肠胃的消化，排毒排尿，另外，吃红豆可以补充丰富的钾元素，有助于保持骨骼和牙齿健康。,含有营养素,红豆,0,纤维素,11
红豆含有丰富的钾元素和纤维素，食用红豆可以滋润肠胃，促进肠胃的消化，排毒排尿，另外，吃红豆可以补充丰富的钾元素，有助于保持骨骼和牙齿健康。,含有营养素,红豆,0,钾元素,52
红豆含有丰富的钾元素和纤维素，食用红豆可以滋润肠胃，促进肠胃的消化，排毒排尿，另外，吃红豆可以补充丰富的钾元素，有助于保持骨骼和牙齿健康。,具有功效,红豆,17,滋润肠胃,21
红豆含有丰富的钾元素和纤维素，食用红豆可以滋润肠胃，促进肠胃的消化，排毒排尿，另外，吃红豆可以补充丰富的钾元素，有助于保持骨骼和牙齿健康。,具有功效,红豆,17,促进肠胃的消化,26
红豆含有丰富的钾元素和纤维素，食用红豆可以滋润肠胃，促进肠胃的消化，排毒排尿，另外，吃红豆可以补充丰富的钾元素，有助于保持骨骼和牙齿健康。,具有功效,红豆,17,排毒,34
红豆含有丰富的钾元素和纤维素，食用红豆可以滋润肠胃，促进肠胃的消化，排毒排尿，另外，吃红豆可以补充丰富的钾元素，有助于保持骨骼和牙齿健康。,具有功效,红豆,17,排尿,36
红豆含有丰富的钾元素和纤维素，食用红豆可以滋润肠胃，促进肠胃的消化，排毒排尿，另外，吃红豆可以补充丰富的钾元素，有助于保持骨骼和牙齿健康。,具有功效,红豆,17,保持骨骼和牙齿健康,59
红豆含有丰富的钾元素和纤维素，食用红豆可以滋润肠胃，促进肠胃的消化，排毒排尿，另外，吃红豆可以补充丰富的钾元素，有助于保持骨骼和牙齿健康。,含有营养素,红豆,17,钾,7
红豆含有丰富的钾元素和纤维素，食用红豆可以滋润肠胃，促进肠胃的消化，排毒排尿，另外，吃红豆可以补充丰富的钾元素，有助于保持骨骼和牙齿健康。,含有营养素,红豆,17,纤维素,11
红豆含有丰富的钾元素和纤维素，食用红豆可以滋润肠胃，促进肠胃的消化，排毒排尿，另外，吃红豆可以补充丰富的钾元素，有助于保持骨骼和牙齿健康。,含有营养素,红豆,17,钾元素,52
红豆含有丰富的钾元素和纤维素，食用红豆可以滋润肠胃，促进肠胃的消化，排毒排尿，另外，吃红豆可以补充丰富的钾元素，有助于保持骨骼和牙齿健康。,具有功效,红豆,43,滋润肠胃,21
红豆含有丰富的钾元素和纤维素，食用红豆可以滋润肠胃，促进肠胃的消化，排毒排尿，另外，吃红豆可以补充丰富的钾元素，有助于保持骨骼和牙齿健康。,具有功效,红豆,43,促进肠胃的消化,26
红豆含有丰富的钾元素和纤维素，食用红豆可以滋润肠胃，促进肠胃的消化，排毒排尿，另外，吃红豆可以补充丰富的钾元素，有助于保持骨骼和牙齿健康。,具有功效,红豆,43,排毒,34
红豆含有丰富的钾元素和纤维素，食用红豆可以滋润肠胃，促进肠胃的消化，排毒排尿，另外，吃红豆可以补充丰富的钾元素，有助于保持骨骼和牙齿健康。,具有功效,红豆,43,排尿,36
红豆含有丰富的钾元素和纤维素，食用红豆可以滋润肠胃，促进肠胃的消化，排毒排尿，另外，吃红豆可以补充丰富的钾元素，有助于保持骨骼和牙齿健康。,具有功效,红豆,43,保持骨骼和牙齿健康,59
红豆含有丰富的钾元素和纤维素，食用红豆可以滋润肠胃，促进肠胃的消化，排毒排尿，另外，吃红豆可以补充丰富的钾元素，有助于保持骨骼和牙齿健康。,含有营养素,红豆,43,钾,7
红豆含有丰富的钾元素和纤维素，食用红豆可以滋润肠胃，促进肠胃的消化，排毒排尿，另外，吃红豆可以补充丰富的钾元素，有助于保持骨骼和牙齿健康。,含有营养素,红豆,43,纤维素,11
红豆含有丰富的钾元素和纤维素，食用红豆可以滋润肠胃，促进肠胃的消化，排毒排尿，另外，吃红豆可以补充丰富的钾元素，有助于保持骨骼和牙齿健康。,含有营养素,红豆,43,钾元素,52
杏仁含有维生素E、植物性蛋白质、不饱和脂肪酸等，可促进大脑细胞发育，其丰富的膳食纤维，能促进肠道蠕动，改善便秘。,具有功效,杏仁,0,促进大脑细胞发育,25
杏仁含有维生素E、植物性蛋白质、不饱和脂肪酸等，可促进大脑细胞发育，其丰富的膳食纤维，能促进肠道蠕动，改善便秘。,具有功效,杏仁,0,促进肠道蠕动,44
杏仁含有维生素E、植物性蛋白质、不饱和脂肪酸等，可促进大脑细胞发育，其丰富的膳食纤维，能促进肠道蠕动，改善便秘。,具有功效,杏仁,0,改善便秘,51
杏仁含有维生素E、植物性蛋白质、不饱和脂肪酸等，可促进大脑细胞发育，其丰富的膳食纤维，能促进肠道蠕动，改善便秘。,含有营养素,杏仁,0,维生素E,4
杏仁含有维生素E、植物性蛋白质、不饱和脂肪酸等，可促进大脑细胞发育，其丰富的膳食纤维，能促进肠道蠕动，改善便秘。,含有营养素,杏仁,0,植物性蛋白质,9
杏仁含有维生素E、植物性蛋白质、不饱和脂肪酸等，可促进大脑细胞发育，其丰富的膳食纤维，能促进肠道蠕动，改善便秘。,含有营养素,杏仁,0,不饱和脂肪酸等,16
杏仁含有维生素E、植物性蛋白质、不饱和脂肪酸等，可促进大脑细胞发育，其丰富的膳食纤维，能促进肠道蠕动，改善便秘。,含有营养素,杏仁,0,膳食纤维,38
胡萝卜富含多种维生素，能提高人体免疫力，改善眼睛疲劳、贫血，帮助血液循环。,具有功效,胡萝卜,0,提高人体免疫力,12
胡萝卜富含多种维生素，能提高人体免疫力，改善眼睛疲劳、贫血，帮助血液循环。,具有功效,胡萝卜,0,改善眼睛疲劳,20
胡萝卜富含多种维生素，能提高人体免疫力，改善眼睛疲劳、贫血，帮助血液循环。,具有功效,胡萝卜,0,帮助血液循环,30
胡萝卜富含多种维生素，能提高人体免疫力，改善眼睛疲劳、贫血，帮助血液循环。,含有营养素,胡萝卜,0,维生素,7
胡萝卜富含多种维生素，能提高人体免疫力，改善眼睛疲劳、贫血，帮助血液循环。,利于疾病,胡萝卜,0,贫,27
胡萝卜富含多种维生素，能提高人体免疫力，改善眼睛疲劳、贫血，帮助血液循环。,利于疾病,胡萝卜,0,血,28
胡萝卜富含多种维生素，能提高人体免疫力，改善眼睛疲劳、贫血，帮助血液循环。,营养素疾病,维生素,7,贫,27
胡萝卜富含多种维生素，能提高人体免疫力，改善眼睛疲劳、贫血，帮助血液循环。,营养素疾病,维生素,7,血,28
枸杞叶含有多种维生素，如维生素A、维生素C、维生素B1、维生素B2等，以及含有的多种氨基酸等营养物质，对眼睛很有帮助，具有明目的功效。,具有功效,枸杞叶,0,明目,61
枸杞叶含有多种维生素，如维生素A、维生素C、维生素B1、维生素B2等，以及含有的多种氨基酸等营养物质，对眼睛很有帮助，具有明目的功效。,含有营养素,枸杞叶,0,维生素,7
枸杞叶含有多种维生素，如维生素A、维生素C、维生素B1、维生素B2等，以及含有的多种氨基酸等营养物质，对眼睛很有帮助，具有明目的功效。,含有营养素,枸杞叶,0,维生素A,12
枸杞叶含有多种维生素，如维生素A、维生素C、维生素B1、维生素B2等，以及含有的多种氨基酸等营养物质，对眼睛很有帮助，具有明目的功效。,含有营养素,枸杞叶,0,维生素C,17
枸杞叶含有多种维生素，如维生素A、维生素C、维生素B1、维生素B2等，以及含有的多种氨基酸等营养物质，对眼睛很有帮助，具有明目的功效。,含有营养素,枸杞叶,0,维生素B1,22
枸杞叶含有多种维生素，如维生素A、维生素C、维生素B1、维生素B2等，以及含有的多种氨基酸等营养物质，对眼睛很有帮助，具有明目的功效。,含有营养素,枸杞叶,0,维生素B2,28
枸杞叶含有多种维生素，如维生素A、维生素C、维生素B1、维生素B2等，以及含有的多种氨基酸等营养物质，对眼睛很有帮助，具有明目的功效。,含有营养素,枸杞叶,0,氨基酸,42
甘蔗味甘、性寒，归肺、胃经；具有清热解毒、生津止渴、和胃止呕、滋阴润燥等功效；主治口干舌燥，津液不足，小便不利，大便燥结，消化不良，反胃呕吐，呃逆，高热烦渴等。,具有功效,甘蔗,0,清热解毒,16
甘蔗味甘、性寒，归肺、胃经；具有清热解毒、生津止渴、和胃止呕、滋阴润燥等功效；主治口干舌燥，津液不足，小便不利，大便燥结，消化不良，反胃呕吐，呃逆，高热烦渴等。,具有功效,甘蔗,0,和胃止呕,26
甘蔗味甘、性寒，归肺、胃经；具有清热解毒、生津止渴、和胃止呕、滋阴润燥等功效；主治口干舌燥，津液不足，小便不利，大便燥结，消化不良，反胃呕吐，呃逆，高热烦渴等。,具有功效,甘蔗,0,滋阴润燥,31
甘蔗味甘、性寒，归肺、胃经；具有清热解毒、生津止渴、和胃止呕、滋阴润燥等功效；主治口干舌燥，津液不足，小便不利，大便燥结，消化不良，反胃呕吐，呃逆，高热烦渴等。,利于疾病,甘蔗,0,口干舌燥,41
甘蔗味甘、性寒，归肺、胃经；具有清热解毒、生津止渴、和胃止呕、滋阴润燥等功效；主治口干舌燥，津液不足，小便不利，大便燥结，消化不良，反胃呕吐，呃逆，高热烦渴等。,利于疾病,甘蔗,0,津液不足,46
甘蔗味甘、性寒，归肺、胃经；具有清热解毒、生津止渴、和胃止呕、滋阴润燥等功效；主治口干舌燥，津液不足，小便不利，大便燥结，消化不良，反胃呕吐，呃逆，高热烦渴等。,利于疾病,甘蔗,0,小便不利,51
甘蔗味甘、性寒，归肺、胃经；具有清热解毒、生津止渴、和胃止呕、滋阴润燥等功效；主治口干舌燥，津液不足，小便不利，大便燥结，消化不良，反胃呕吐，呃逆，高热烦渴等。,利于疾病,甘蔗,0,大便燥结,56
甘蔗味甘、性寒，归肺、胃经；具有清热解毒、生津止渴、和胃止呕、滋阴润燥等功效；主治口干舌燥，津液不足，小便不利，大便燥结，消化不良，反胃呕吐，呃逆，高热烦渴等。,利于疾病,甘蔗,0,消化不良,61
甘蔗味甘、性寒，归肺、胃经；具有清热解毒、生津止渴、和胃止呕、滋阴润燥等功效；主治口干舌燥，津液不足，小便不利，大便燥结，消化不良，反胃呕吐，呃逆，高热烦渴等。,利于疾病,甘蔗,0,反胃,66
甘蔗味甘、性寒，归肺、胃经；具有清热解毒、生津止渴、和胃止呕、滋阴润燥等功效；主治口干舌燥，津液不足，小便不利，大便燥结，消化不良，反胃呕吐，呃逆，高热烦渴等。,利于疾病,甘蔗,0,呕吐,68
甘蔗味甘、性寒，归肺、胃经；具有清热解毒、生津止渴、和胃止呕、滋阴润燥等功效；主治口干舌燥，津液不足，小便不利，大便燥结，消化不良，反胃呕吐，呃逆，高热烦渴等。,利于疾病,甘蔗,0,呃逆,71
甘蔗味甘、性寒，归肺、胃经；具有清热解毒、生津止渴、和胃止呕、滋阴润燥等功效；主治口干舌燥，津液不足，小便不利，大便燥结，消化不良，反胃呕吐，呃逆，高热烦渴等。,利于疾病,甘蔗,0,高热,74
乌鸡内含丰富的黑色素，蛋白质，B族维生素等18种氨基酸和18种微量元素，其中烟酸、维生素E、磷、铁、钾、钠的含量均高于普通鸡肉，胆固醇和脂肪含量却很低。,含有营养素,乌鸡,0,黑色素,7
乌鸡内含丰富的黑色素，蛋白质，B族维生素等18种氨基酸和18种微量元素，其中烟酸、维生素E、磷、铁、钾、钠的含量均高于普通鸡肉，胆固醇和脂肪含量却很低。,含有营养素,乌鸡,0,蛋白质,11
乌鸡内含丰富的黑色素，蛋白质，B族维生素等18种氨基酸和18种微量元素，其中烟酸、维生素E、磷、铁、钾、钠的含量均高于普通鸡肉，胆固醇和脂肪含量却很低。,含有营养素,乌鸡,0,B族维生素,15
乌鸡内含丰富的黑色素，蛋白质，B族维生素等18种氨基酸和18种微量元素，其中烟酸、维生素E、磷、铁、钾、钠的含量均高于普通鸡肉，胆固醇和脂肪含量却很低。,含有营养素,乌鸡,0,氨基酸,24
乌鸡内含丰富的黑色素，蛋白质，B族维生素等18种氨基酸和18种微量元素，其中烟酸、维生素E、磷、铁、钾、钠的含量均高于普通鸡肉，胆固醇和脂肪含量却很低。,含有营养素,乌鸡,0,微量元素,31
乌鸡内含丰富的黑色素，蛋白质，B族维生素等18种氨基酸和18种微量元素，其中烟酸、维生素E、磷、铁、钾、钠的含量均高于普通鸡肉，胆固醇和脂肪含量却很低。,含有营养素,乌鸡,0,烟酸,38
乌鸡内含丰富的黑色素，蛋白质，B族维生素等18种氨基酸和18种微量元素，其中烟酸、维生素E、磷、铁、钾、钠的含量均高于普通鸡肉，胆固醇和脂肪含量却很低。,含有营养素,乌鸡,0,维生素E,41
乌鸡内含丰富的黑色素，蛋白质，B族维生素等18种氨基酸和18种微量元素，其中烟酸、维生素E、磷、铁、钾、钠的含量均高于普通鸡肉，胆固醇和脂肪含量却很低。,含有营养素,乌鸡,0,磷,46
乌鸡内含丰富的黑色素，蛋白质，B族维生素等18种氨基酸和18种微量元素，其中烟酸、维生素E、磷、铁、钾、钠的含量均高于普通鸡肉，胆固醇和脂肪含量却很低。,含有营养素,乌鸡,0,铁,48
乌鸡内含丰富的黑色素，蛋白质，B族维生素等18种氨基酸和18种微量元素，其中烟酸、维生素E、磷、铁、钾、钠的含量均高于普通鸡肉，胆固醇和脂肪含量却很低。,含有营养素,乌鸡,0,钾,50
乌鸡内含丰富的黑色素，蛋白质，B族维生素等18种氨基酸和18种微量元素，其中烟酸、维生素E、磷、铁、钾、钠的含量均高于普通鸡肉，胆固醇和脂肪含量却很低。,含有营养素,乌鸡,0,钠,52
乌鸡肉中含氨基酸高于普通鸡，而且含铁元素也比普通鸡高很多，是营养价值极高的滋补品。,含有营养素,乌鸡,0,氨基酸,5
乌鸡肉中含氨基酸高于普通鸡，而且含铁元素也比普通鸡高很多，是营养价值极高的滋补品。,含有营养素,乌鸡,0,铁元素,17
奶香红豆是能够有效补血健胃，给老人全面的营养。,具有功效,红豆,2,补血健胃,9
红豆性平，味甘酸，无毒，有滋补强壮、健脾养胃、利水除湿、清热解毒、通乳汁和补血的功能。,具有功效,红豆,0,滋补强壮,13
红豆性平，味甘酸，无毒，有滋补强壮、健脾养胃、利水除湿、清热解毒、通乳汁和补血的功能。,具有功效,红豆,0,健脾养胃,18
红豆性平，味甘酸，无毒，有滋补强壮、健脾养胃、利水除湿、清热解毒、通乳汁和补血的功能。,具有功效,红豆,0,利水除湿,23
红豆性平，味甘酸，无毒，有滋补强壮、健脾养胃、利水除湿、清热解毒、通乳汁和补血的功能。,具有功效,红豆,0,清热解毒,28
红豆性平，味甘酸，无毒，有滋补强壮、健脾养胃、利水除湿、清热解毒、通乳汁和补血的功能。,具有功效,红豆,0,通乳汁,33
红豆性平，味甘酸，无毒，有滋补强壮、健脾养胃、利水除湿、清热解毒、通乳汁和补血的功能。,具有功效,红豆,0,补血,37
芋头和172均含有较高的膳食纤维，对缓解便秘有好处。,含有营养素,芋头,0,膳食纤维,12
芋头和172均含有较高的膳食纤维，对缓解便秘有好处。,利于疾病,芋头,0,便秘,20
芋头和172均含有较高的膳食纤维，对缓解便秘有好处。,营养素疾病,膳食纤维,12,便秘,20
另外，芋头所含的矿物质中，氟的含量较高，具有洁齿防龋、保护牙齿的作用。,具有功效,芋头,3,洁齿防龋,22
另外，芋头所含的矿物质中，氟的含量较高，具有洁齿防龋、保护牙齿的作用。,具有功效,芋头,3,保护牙齿,27
另外，芋头所含的矿物质中，氟的含量较高，具有洁齿防龋、保护牙齿的作用。,含有营养素,芋头,3,矿物质,8
另外，芋头所含的矿物质中，氟的含量较高，具有洁齿防龋、保护牙齿的作用。,含有营养素,芋头,3,氟,13
乌鸡既能滋养肝肾，又能补气补血，尤其对女性气血两虚，身体虚弱有很好的食疗作用，搭配同样有补气养血功效的桂圆，能让这道汤滋补的效果更好。,忌搭配,乌鸡,0,桂圆,51
乌鸡既能滋养肝肾，又能补气补血，尤其对女性气血两虚，身体虚弱有很好的食疗作用，搭配同样有补气养血功效的桂圆，能让这道汤滋补的效果更好。,具有功效,乌鸡,0,滋养肝肾,4
乌鸡既能滋养肝肾，又能补气补血，尤其对女性气血两虚，身体虚弱有很好的食疗作用，搭配同样有补气养血功效的桂圆，能让这道汤滋补的效果更好。,具有功效,乌鸡,0,补气补血,11
乌鸡既能滋养肝肾，又能补气补血，尤其对女性气血两虚，身体虚弱有很好的食疗作用，搭配同样有补气养血功效的桂圆，能让这道汤滋补的效果更好。,具有功效,乌鸡,0,补气养血,44
乌鸡既能滋养肝肾，又能补气补血，尤其对女性气血两虚，身体虚弱有很好的食疗作用，搭配同样有补气养血功效的桂圆，能让这道汤滋补的效果更好。,具有功效,乌鸡,0,滋补,59
乌鸡既能滋养肝肾，又能补气补血，尤其对女性气血两虚，身体虚弱有很好的食疗作用，搭配同样有补气养血功效的桂圆，能让这道汤滋补的效果更好。,利于疾病,乌鸡,0,气血两虚,21
乌鸡既能滋养肝肾，又能补气补血，尤其对女性气血两虚，身体虚弱有很好的食疗作用，搭配同样有补气养血功效的桂圆，能让这道汤滋补的效果更好。,利于疾病,乌鸡,0,身体虚弱,26
乌鸡既能滋养肝肾，又能补气补血，尤其对女性气血两虚，身体虚弱有很好的食疗作用，搭配同样有补气养血功效的桂圆，能让这道汤滋补的效果更好。,具有功效,桂圆,51,滋养肝肾,4
乌鸡既能滋养肝肾，又能补气补血，尤其对女性气血两虚，身体虚弱有很好的食疗作用，搭配同样有补气养血功效的桂圆，能让这道汤滋补的效果更好。,具有功效,桂圆,51,补气补血,11
乌鸡既能滋养肝肾，又能补气补血，尤其对女性气血两虚，身体虚弱有很好的食疗作用，搭配同样有补气养血功效的桂圆，能让这道汤滋补的效果更好。,具有功效,桂圆,51,补气养血,44
乌鸡既能滋养肝肾，又能补气补血，尤其对女性气血两虚，身体虚弱有很好的食疗作用，搭配同样有补气养血功效的桂圆，能让这道汤滋补的效果更好。,具有功效,桂圆,51,滋补,59
乌鸡既能滋养肝肾，又能补气补血，尤其对女性气血两虚，身体虚弱有很好的食疗作用，搭配同样有补气养血功效的桂圆，能让这道汤滋补的效果更好。,利于疾病,桂圆,51,气血两虚,21
乌鸡既能滋养肝肾，又能补气补血，尤其对女性气血两虚，身体虚弱有很好的食疗作用，搭配同样有补气养血功效的桂圆，能让这道汤滋补的效果更好。,利于疾病,桂圆,51,身体虚弱,26
猪肝有清肝明目的功效，搭配西红柿、玉米一起煲汤食用，不仅丰富了营养素，尤其是维生素和膳食纤维，玉米和番茄自身的甜味还让这道汤水饮用起来非常清甜。,忌搭配,猪肝,0,西红柿,13
猪肝有清肝明目的功效，搭配西红柿、玉米一起煲汤食用，不仅丰富了营养素，尤其是维生素和膳食纤维，玉米和番茄自身的甜味还让这道汤水饮用起来非常清甜。,忌搭配,猪肝,0,玉米,17
猪肝有清肝明目的功效，搭配西红柿、玉米一起煲汤食用，不仅丰富了营养素，尤其是维生素和膳食纤维，玉米和番茄自身的甜味还让这道汤水饮用起来非常清甜。,具有功效,猪肝,0,清肝明目,3
猪肝有清肝明目的功效，搭配西红柿、玉米一起煲汤食用，不仅丰富了营养素，尤其是维生素和膳食纤维，玉米和番茄自身的甜味还让这道汤水饮用起来非常清甜。,含有营养素,猪肝,0,维生素,38
猪肝有清肝明目的功效，搭配西红柿、玉米一起煲汤食用，不仅丰富了营养素，尤其是维生素和膳食纤维，玉米和番茄自身的甜味还让这道汤水饮用起来非常清甜。,含有营养素,猪肝,0,膳食纤维,42
猪肝有清肝明目的功效，搭配西红柿、玉米一起煲汤食用，不仅丰富了营养素，尤其是维生素和膳食纤维，玉米和番茄自身的甜味还让这道汤水饮用起来非常清甜。,忌搭配,西红柿,13,玉米,17
猪肝有清肝明目的功效，搭配西红柿、玉米一起煲汤食用，不仅丰富了营养素，尤其是维生素和膳食纤维，玉米和番茄自身的甜味还让这道汤水饮用起来非常清甜。,具有功效,西红柿,13,清肝明目,3
猪肝有清肝明目的功效，搭配西红柿、玉米一起煲汤食用，不仅丰富了营养素，尤其是维生素和膳食纤维，玉米和番茄自身的甜味还让这道汤水饮用起来非常清甜。,含有营养素,西红柿,13,维生素,38
猪肝有清肝明目的功效，搭配西红柿、玉米一起煲汤食用，不仅丰富了营养素，尤其是维生素和膳食纤维，玉米和番茄自身的甜味还让这道汤水饮用起来非常清甜。,含有营养素,西红柿,13,膳食纤维,42
猪肝有清肝明目的功效，搭配西红柿、玉米一起煲汤食用，不仅丰富了营养素，尤其是维生素和膳食纤维，玉米和番茄自身的甜味还让这道汤水饮用起来非常清甜。,具有功效,玉米,17,清肝明目,3
猪肝有清肝明目的功效，搭配西红柿、玉米一起煲汤食用，不仅丰富了营养素，尤其是维生素和膳食纤维，玉米和番茄自身的甜味还让这道汤水饮用起来非常清甜。,含有营养素,玉米,17,维生素,38
猪肝有清肝明目的功效，搭配西红柿、玉米一起煲汤食用，不仅丰富了营养素，尤其是维生素和膳食纤维，玉米和番茄自身的甜味还让这道汤水饮用起来非常清甜。,含有营养素,玉米,17,膳食纤维,42
黑豆中的维生素E、钙和铁含量都很丰富，对保护骨骼健康，预防和改善缺铁性贫血都有重要作用。,具有功效,黑豆,0,保护骨骼健康,20
黑豆中的维生素E、钙和铁含量都很丰富，对保护骨骼健康，预防和改善缺铁性贫血都有重要作用。,具有功效,黑豆,0,预防和改善缺铁性贫血,27
黑豆中的维生素E、钙和铁含量都很丰富，对保护骨骼健康，预防和改善缺铁性贫血都有重要作用。,含有营养素,黑豆,0,维生素E,4
黑豆中的维生素E、钙和铁含量都很丰富，对保护骨骼健康，预防和改善缺铁性贫血都有重要作用。,含有营养素,黑豆,0,钙,9
黑豆中的维生素E、钙和铁含量都很丰富，对保护骨骼健康，预防和改善缺铁性贫血都有重要作用。,含有营养素,黑豆,0,铁,11
木瓜含有酵素，能消化蛋白质，有利于人体对食物进行消化和吸收，所以食用也有健脾消食的功效。,具有功效,木瓜,0,消化蛋白质,8
木瓜含有酵素，能消化蛋白质，有利于人体对食物进行消化和吸收，所以食用也有健脾消食的功效。,具有功效,木瓜,0,消化,24
木瓜含有酵素，能消化蛋白质，有利于人体对食物进行消化和吸收，所以食用也有健脾消食的功效。,具有功效,木瓜,0,吸收,27
木瓜含有酵素，能消化蛋白质，有利于人体对食物进行消化和吸收，所以食用也有健脾消食的功效。,具有功效,木瓜,0,健脾消食,36
木瓜含有酵素，能消化蛋白质，有利于人体对食物进行消化和吸收，所以食用也有健脾消食的功效。,含有营养素,木瓜,0,酵素,4
鲫鱼鱼肉细嫩，富含大量蛋白质，有健脾利湿、活血通络的功效。,具有功效,鲫鱼,0,健脾利湿,16
